campaign_name,brand,platform,funnel_stage,spend_rm,revenue_rm,impressions,clicks,add_to_cart,orders,streamer_name,slot_time
20260525 until 31 May - Wellage Payday,Wellage,TikTok Shop GMV Max,Conversion,48.17,91.2,,,,2.0,,
20260530 until 13 June - Wellage 6.6 Sale,Wellage,TikTok Shop GMV Max,Conversion,356.85,1318.46,,,,18.0,,
20260102 - WELLAGE LIVE,Wellage,TikTok Shop GMV Max LIVE,Conversion,477.38,1718.23,,,,30.0,Brand Live,0000-continuous
20260327- LIVE - Juhanif - 1200-1400,Wellage,TikTok Shop GMV Max LIVE,Conversion,202.83,221.6,,,,2.0,Juhanif,1200-1400
20260402 - Kak Kusha - 2000-2300,Wellage,TikTok Shop GMV Max LIVE,Conversion,559.08,3632.05,,,,37.0,Kak Kusha,2000-2300
20260404 - Kak Kusha - 2030 - 2300,Wellage,TikTok Shop GMV Max LIVE,Conversion,200.91,1890.94,,,,24.0,Kak Kusha,2030-2300
20260414 - Zaraglowdiary - 0800-1000,Wellage,TikTok Shop GMV Max LIVE,Conversion,5.91,213.74,,,,12.0,Zaraglowdiary,0800-1000
20260414 - Zaraglowdiary - 2000-2200,Wellage,TikTok Shop GMV Max LIVE,Conversion,8.63,0.0,,,,0.0,Zaraglowdiary,2000-2200
20260416 - Zaraglowdiary - 2000-2200,Wellage,TikTok Shop GMV Max LIVE,Conversion,6.6,355.64,,,,8.0,Zaraglowdiary,2000-2200
20260428 - Kak Kusha Live Wellage - 2030-2230,Wellage,TikTok Shop GMV Max LIVE,Conversion,489.68,3128.6,,,,40.0,Kak Kusha,2030-2230
20260502 - Kak Kusha Live Wellage - 2030-2230,Wellage,TikTok Shop GMV Max LIVE,Conversion,122.31,971.3,,,,13.0,Kak Kusha,2030-2230
20260601 - Kak Kusha Live Wellage - 2030-2230,Wellage,TikTok Shop GMV Max LIVE,Conversion,111.89,1641.7,,,,20.0,Kak Kusha,2030-2230
20260604 - Kak Kusha Live Wellage - 2030-2230,Wellage,TikTok Shop GMV Max LIVE,Conversion,74.02,1745.23,,,,19.0,Kak Kusha,2030-2230
20260620 - NL And Team - Wellage Live - 2000-2300,Wellage,TikTok Shop GMV Max LIVE,Conversion,85.35,1016.39,,,,16.0,NL And Team,2000-2300
20260621 - NL And Team - Wellage Live - 0800-1100,Wellage,TikTok Shop GMV Max LIVE,Conversion,80.72,471.6,,,,7.0,NL And Team,0800-1100
20260626 - NL And Team - Wellage Live - 0700-1000,Wellage,TikTok Shop GMV Max LIVE,Conversion,36.51,561.83,,,,12.0,NL And Team,0700-1000
20260626 - Kak Kusha Live Wellage - 2030-2230,Wellage,TikTok Shop GMV Max LIVE,Conversion,27.56,1924.53,,,,28.0,Kak Kusha,2030-2230
20260626 - Ika - Wellage Live - 2100-2300,Wellage,TikTok Shop GMV Max LIVE,Conversion,17.61,35.78,,,,1.0,Ika,2100-2300
20260224 until 10 March - Aliah Shar & Yap,Mustela,TikTok Shop GMV Max,Conversion,112.43,107.35,,,,1.0,,
20260403 until 17 April - Stelatopia,Mustela,TikTok Shop GMV Max,Conversion,389.18,1732.88,,,,24.0,,
20260505 until 19 May - 5.5 Sale - Cicastela,Mustela,TikTok Shop GMV Max,Conversion,282.83,2052.11,,,,26.0,,
20260127 - Kak Kusha LIVE - Mustela,Mustela,TikTok Shop GMV Max LIVE,Conversion,98.81,586.74,,,,8.0,Kak Kusha,2030-2230
20260129 - Kak Kusha LIVE - Mustela,Mustela,TikTok Shop GMV Max LIVE,Conversion,54.84,389.4,,,,6.0,Kak Kusha,2030-2230
20260131 - Kak Kusha LIVE - Mustela,Mustela,TikTok Shop GMV Max LIVE,Conversion,320.46,588.92,,,,7.0,Kak Kusha,2030-2230
20260227- Kak Kusha LIVE - Mustela 2030-0000,Mustela,TikTok Shop GMV Max LIVE,Conversion,120.14,1079.59,,,,15.0,Kak Kusha,2030-0000
20260301- Kak Kusha LIVE - Mustela 2130-0000,Mustela,TikTok Shop GMV Max LIVE,Conversion,245.14,988.95,,,,15.0,Kak Kusha,2130-0000
20260429 - Kak Kusha Mustela Live - 2030-2230,Mustela,TikTok Shop GMV Max LIVE,Conversion,212.43,739.77,,,,11.0,Kak Kusha,2030-2230
20260503 - Kak Kusha Live Mustela - 2030-2230,Mustela,TikTok Shop GMV Max LIVE,Conversion,27.21,0.0,,,,0.0,Kak Kusha,2030-2230
20260530 - Kak Kusha Live Mustela - 2030-2230,Mustela,TikTok Shop GMV Max LIVE,Conversion,163.43,998.76,,,,14.0,Kak Kusha,2030-2230
20260603 - Kak Kusha Live Mustela - 2030-2230,Mustela,TikTok Shop GMV Max LIVE,Conversion,69.13,395.85,,,,6.0,Kak Kusha,2030-2230
20260101 until 4th - All products,Fation,TikTok Shop GMV Max,Conversion,31.9,0.0,,,,0.0,,
20260127 until 3 Feb - all products,Fation,TikTok Shop GMV Max,Conversion,146.63,128.7,,,,3.0,,
20260224 until 10th March - Pay Day,Fation,TikTok Shop GMV Max,Conversion,90.23,0.0,,,,0.0,,
20260204 - Reach - Celimax - testing,Celimax,Instagram,Awareness,199.86,0.0,137789.0,,,,,
20260411 - Reach - Celimax Sunscreens,Celimax,Instagram,Awareness,199.94,0.0,169290.0,,,,,
260508 - Reach (18-25) - Celimax - Noni Night Routine,Celimax,Instagram,Awareness,124.93,0.0,98026.0,,,,,
260508 - Reach (26-35) - Celimax - Noni Night Routine,Celimax,Instagram,Awareness,124.9,0.0,97207.0,,,,,
260508 - Reach (36-45) - Celimax - Noni Night Routine,Celimax,Instagram,Awareness,124.92,0.0,97444.0,,,,,
20260204 - Reach - Wellage - testing,Wellage,Instagram,Awareness,200.0,0.0,144777.0,,,,,
20260411 - Reach - Wellage Real HA One Day Kit - Anti-heat shield,Wellage,Instagram,Awareness,199.95,0.0,158936.0,,,,,
260508 - Reach (18-25) - Wellage - 7 Day Diary,Wellage,Instagram,Awareness,124.9,0.0,97309.0,,,,,
260508 - Reach (26-35) - Wellage - 7 Day Diary,Wellage,Instagram,Awareness,124.87,0.0,96459.0,,,,,
260508 - Reach (36-45) - Wellage - 7 Day Diary,Wellage,Instagram,Awareness,124.94,0.0,96983.0,,,,,
20260203 - Reach - Fation - testing,Fation,Instagram,Awareness,200.0,0.0,103121.0,,,,,
20260413 - Reach - Fation Trouble Serum - cwassaunt - copy,Fation,Instagram,Awareness,99.98,0.0,72198.0,,,,,
KOL Stelatopia Ad 1 - @aliahshar,Mustela,Instagram,Consideration,74.72,0.0,3845.0,226.0,3.0,0.0,,
KOL Stelatopia Ad 2 - @bellamobijohn,Mustela,Instagram,Consideration,250.11,0.0,27802.0,1398.0,0.0,0.0,,
Gentle baby routine - 20260417,Mustela,Instagram,Consideration,99.95,228.0,60483.0,,2.0,1.0,,
260508 - Reach (25-34) - Mustela - Extra Care Cicastela,Mustela,Instagram,Awareness,149.94,0.0,127154.0,,,,,
260508 - Reach (35-44) - Mustela - Extra Care Cicastela,Mustela,Instagram,Awareness,149.94,0.0,121540.0,,,,,
Embryolisse MY_New Radiant Complexion Rose Glow campaign Ad 1 - Intro,Embryolisse,Instagram,Awareness,76.45,0.0,49561.0,,,,,
Embryolisse MY_New Radiant Complexion Rose Glow campaign Ad 2 - Makeup meets skincare,Embryolisse,Instagram,Awareness,223.45,0.0,143365.0,,,,,
